ID,FMC,VEGTYPE,red_630_690,nir1_780_900,blue_450_520,green_530_610,nir2_1230_1250,swir1_1550_1750,swir2_2090_2350
536,178.7,grass,0.0813,0.3181,0.0457,0.1067,0.3611,0.3041,0.1732
537,178.6,grass,0.0845,0.3113,0.0471,0.107,0.3552,0.298,0.1712
538,178.6,grass,0.07,0.3162,0.0395,0.0997,0.3459,0.271,0.1387
539,178.1,grass,0.0712,0.3232,0.0412,0.1024,0.3455,0.26,0.1306
540,177.8,grass,0.0792,0.2989,0.043,0.0991,0.3394,0.2758,0.1544
541,177.8,grass,0.0704,0.3095,0.0373,0.0895,0.3708,0.3463,0.2223
542,177.6,grass,0.0582,0.3175,0.0331,0.0902,0.3357,0.2456,0.1133
543,177.6,grass,0.0739,0.335,0.0431,0.1065,0.3636,0.2863,0.1499
544,177.4,grass,0.0634,0.302,0.0346,0.0873,0.3374,0.268,0.1379
545,177.1,grass,0.0688,0.3226,0.0382,0.0967,0.365,0.3085,0.1716
546,177.1,grass,0.0687,0.3128,0.0379,0.095,0.3503,0.2847,0.1515
547,176.7,grass,0.0788,0.3332,0.0449,0.1079,0.3794,0.3304,0.1963
548,176.2,grass,0.0787,0.3206,0.0457,0.1083,0.3498,0.2745,0.1452
549,175.7,grass,0.0745,0.2909,0.0397,0.0923,0.33299999999999996,0.2714,0.1508
550,175.7,grass,0.0627,0.3086,0.0341,0.0867,0.3514,0.2944,0.1596
551,174.6,grass,0.0642,0.29600000000000004,0.0352,0.0892,0.3239,0.2459,0.122
552,173.9,grass,0.0704,0.3029,0.0389,0.0961,0.3336,0.2593,0.1335
553,173.5,grass,0.0655,0.302,0.0361,0.0917,0.3298,0.2514,0.1254
554,173.2,grass,0.0658,0.3079,0.0369,0.09300000000000001,0.3317,0.2472,0.1225
555,173.2,grass,0.0622,0.3057,0.0343,0.0875,0.3372,0.262,0.1318
556,172.2,grass,0.0671,0.3219,0.0381,0.0978,0.3494,0.2707,0.1364
557,172.1,grass,0.0825,0.3043,0.045,0.1025,0.3502,0.2941,0.1691
558,172.0,grass,0.0763,0.33,0.0444,0.1076,0.3623,0.2909,0.1557
559,171.9,grass,0.0794,0.3134,0.0429,0.1004,0.3689,0.3306,0.2013
560,171.8,grass,0.0757,0.3092,0.0425,0.1013,0.341,0.2669,0.1419
561,171.7,grass,0.0716,0.3183,0.04,0.0995,0.3565,0.2931,0.1585
562,171.7,grass,0.0645,0.3117,0.0354,0.0906,0.3488,0.2824,0.1479
563,171.6,grass,0.0798,0.315,0.0458,0.107,0.3472,0.2752,0.1481
564,171.4,grass,0.0767,0.3102,0.0431,0.1027,0.3452,0.2768,0.1488
565,171.2,grass,0.0677,0.314,0.0382,0.0962,0.3391,0.2562,0.1282
566,171.0,grass,0.0732,0.3318,0.0439,0.1091,0.3502,0.2628,0.1291
567,170.7,grass,0.062,0.3092,0.0339,0.08800000000000001,0.3481,0.2867,0.1515
568,170.7,grass,0.0672,0.3288,0.0392,0.1019,0.3487,0.2621,0.1269
